,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
71,71,0.970769760702177,2022-03-30 06:58:08.203700,2022-03-30 07:01:11.558462,0 days 00:03:03.354762,0.48372769827899087,2.177108939539167,lossguide,0.04302831188344304,3.9225158852006574,10,10,5.001941309983154,2.4461066921834522,2.645743887618959,0.5047248464888237,COMPLETE
72,72,0.9709159470368869,2022-03-30 07:01:11.560632,2022-03-30 07:06:14.909312,0 days 00:05:03.348680,0.6253809044960102,0.34978063987047003,depthwise,0.015886064236558393,4.969358638579633,11,3,5.441440840751049,4.150971208134852,4.805810974443715,0.7731366132826292,COMPLETE
73,73,0.9707898536381269,2022-03-30 07:06:14.916430,2022-03-30 07:09:43.667866,0 days 00:03:28.751436,0.6705746872394758,2.275560207371808,lossguide,0.16137566924909688,7.2895544223654465,14,14,4.512701857528941,4.521219837394083,10.490774306193373,0.6303626066848659,COMPLETE
74,74,0.9682188549918204,2022-03-30 07:09:43.669884,2022-03-30 07:12:22.539186,0 days 00:02:38.869302,0.7246780124931341,0.9049130727965315,depthwise,0.31086923416692963,4.452056501014376,10,10,5.130659604449269,2.1229574449815187,2.1826876977920584,0.5542918945515518,COMPLETE
75,75,0.9668578082998206,2022-03-30 07:12:22.541068,2022-03-30 07:14:35.040487,0 days 00:02:12.499419,0.62937230348198,1.7389084164661255,depthwise,0.11902660420546629,4.185185732614995,12,30,0.006903018450975629,3.849301900140206,1.8847091565082805,0.4370964458087807,COMPLETE
76,76,0.953303315056341,2022-03-30 07:14:35.042464,2022-03-30 07:17:32.775762,0 days 00:02:57.733298,0.5994408542980425,4.704221322615667,lossguide,0.32015299797900787,7.605600295332061,12,7,4.874442241561443,2.368080971238018,0.23023892037989668,0.6847673302990375,COMPLETE
77,77,0.9706485424536928,2022-03-30 07:17:32.777686,2022-03-30 07:20:39.629159,0 days 00:03:06.851473,0.520964477519045,2.9797213667168663,lossguide,0.09547947623146558,5.830610924851251,15,31,3.954803329364829,4.182004446156746,6.720232393392138,0.609955822443744,COMPLETE
78,78,0.9723136519553511,2022-03-30 07:20:39.630964,2022-03-30 07:25:45.101910,0 days 00:05:05.470946,0.7304256121238215,0.6079544062745827,lossguide,0.046766764280075396,7.843189227866055,10,2,7.114651600256438,2.435189915767598,3.111912567636957,0.9858039463702218,COMPLETE
79,79,0.9695714635782985,2022-03-30 07:25:45.103746,2022-03-30 07:31:15.712333,0 days 00:05:30.608587,0.7701374299899302,1.5986260227732412,lossguide,0.012191325737968231,6.145408064798118,11,3,4.794490199805896,1.5226431897726347,4.925049698904822,0.8628828294367324,COMPLETE
80,80,0.9723662220049437,2022-03-30 07:31:15.714610,2022-03-30 07:36:05.457975,0 days 00:04:49.743365,0.9507027221039088,0.07590862869437864,lossguide,0.1341812480733236,6.6123150406184505,12,12,8.552924022095228,5.191170636221003,6.316792239992898,0.9423912772069316,COMPLETE
81,81,0.792548867446505,2022-03-30 07:36:05.460076,2022-03-30 07:36:40.499023,0 days 00:00:35.038947,0.854684995742746,1.07655884243675,lossguide,0.16889465091545414,6.256661755987844,11,26,0.27662465266774694,5.775299261108305,0.0070129349656244955,0.7143258534176044,COMPLETE
82,82,0.9705798832747566,2022-03-30 07:36:40.500545,2022-03-30 07:41:05.052578,0 days 00:04:24.552033,0.92993927037578,1.2116928584648126,lossguide,0.3137693589461076,3.607400910877852,9,11,9.746591927044626,3.0588202798975335,10.01925894618633,0.8645652438021991,COMPLETE
83,83,0.971196957590041,2022-03-30 07:41:05.054441,2022-03-30 07:46:06.683170,0 days 00:05:01.628729,0.9668542576952597,1.7628453812660019,lossguide,0.19936259016411967,4.095004512189671,15,21,6.440046247165695,3.1927161346084465,8.49987797929035,0.8878838778165128,COMPLETE
84,84,0.9717110105968009,2022-03-30 07:46:06.685196,2022-03-30 07:50:34.545051,0 days 00:04:27.859855,0.7508087696709035,1.416500260980981,lossguide,0.13886982132291248,9.976508851010776,9,3,6.9838578560288385,3.4710531788009287,5.948870503964373,0.9468828857917441,COMPLETE
85,85,0.968681646374204,2022-03-30 07:50:34.547242,2022-03-30 07:54:49.349439,0 days 00:04:14.802197,0.9824496165338772,0.8937587653052549,lossguide,0.30328633050440784,6.115843921857956,12,10,8.625018516215453,7.734400295787005,0.8976161920947296,0.8731887229043153,COMPLETE
